period,scenario,subperiod,Solar1
1,1,1,39706.4296875
1,2,1,39706.4296875
1,3,1,39706.4296875
1,4,1,17779.19921875
1,5,1,17779.19921875
1,6,1,17779.19921875
1,7,1,41779.19921875
1,8,1,41779.19921875
1,9,1,41779.19921875
1,10,1,15706.427734375
1,11,1,15706.427734375
1,12,1,15706.427734375
2,1,1,62668.80078125
2,2,1,62668.80078125
2,3,1,62668.80078125
2,4,1,40741.5703125
2,5,1,40741.5703125
2,6,1,40741.5703125
2,7,1,64741.5703125
2,8,1,64741.5703125
2,9,1,64741.5703125
2,10,1,38668.80078125
2,11,1,38668.80078125
2,12,1,38668.80078125
